Game,Revenue,Publisher(s),Genre(s)
Honor of Kings / Arena of Valor,14667500000,Tencent Games,MOBA
Monster Strike,10000000000,Mixi,Puzzle / RPG / Strategy
PUBG Mobile,9000000000,Tencent Games / Krafton / VNG Games,Battle royale
Puzzle & Dragons,8578340000,GungHo Online Entertainment,RPG / Puzzle
Clash of Clans,8000000000,Supercell (Tencent),Strategy
Pokémon Go,7760000000,Niantic / The Pokémon Company,Augmented reality
Candy Crush Saga,7456000000,King (Activision Blizzard),Puzzle
Fate/Grand Order,6300000000,Aniplex (Sony Music Entertainment Japan),RPG
Fantasy Westward Journey,4700000000,NetEase,MMORPG
Garena Free Fire,4330000000,Garena,Battle royale
Roblox Mobile,3919000000,Roblox Corporation,GCS / MMO
Genshin Impact,3567000000,miHoYo,Action RPG
Lineage M,3578000000,NCsoft,MMORPG
Dragon Ball Z: Dokkan Battle,3500000000,Bandai Namco Entertainment,RPG / Puzzle
Coin Master,3008000000,Moon Active,Casual / Casino
Clash Royale,3000000000,Supercell (Tencent),Real-time strategy
Gardenscapes,3000000000,Playrix,Puzzle / Decoration
Game of War: Fire Age,2800000000,Machine Zone,Strategy
Lords Mobile,2576700000,IGG,Strategy / MMO
Homescapes,2294000000,Playrix,Puzzle / Decoration
Pro Yakyū Spirits A / Pro Baseball Spirits A,2200000000,Konami,Sports (baseball)
Lineage 2: Revolution,2106770000,Netmarble Games / NCsoft,MMORPG
Candy Crush Soda Saga,2000000000,King (Activision Blizzard),Puzzle
Three Kingdoms Tactics,1936200000,Alibaba Group / Koei Tecmo,Strategy (4X)
Marvel Contest of Champions,1784000000,Kabam (Netmarble),Fighting
Toon Blast,1600000000,Peak Games,Puzzle
Disney Tsum Tsum,1500000000,LINE,Puzzle
Call of Duty: Mobile,1500000000,Activision / Tencent / Garena,Shooter / Battle royale
Knives Out,1485270000,NetEase,Battle royale
AFK Arena,1450000000,Lilith Games,RPG
Lineage 2 M,1413000000,NCsoft,MMORPG
Hay Day,1400000000,Supercell (Tencent),Simulation
Brawl Stars,1400000000,Supercell (Tencent),MOBA
Summoners War: Sky Arena,1350000000,Com2Us,TBS / MMO
Fortnite,1200000000,Epic Games,Battle royale
Onmyoji,1129000000,NetEase,RPG
Star Wars: Galaxy of Heroes,1071000000,Electronic Arts,RPG
Boom Beach,1000000000,Supercell (Tencent),Strategy
Mobile Strike,1000000000,Machine Zone,Strategy
Mobile Legends: Bang Bang,1000000000,Moonton (ByteDance),MOBA
Fire Emblem Heroes,1000000000,Nintendo,Tactical RPG
Uma Musume Pretty Derby,990000000,Cygames,Simulation / Social
QQ Speed Mobile / Speed Drifters,945000000,Tencent Games / Garena,Racing (Kart / MMOR)
Dragon Ball Legends,930000000,Bandai Namco Entertainment,Action RPG
Dragon Quest Walk,927720000,Square Enix,Augmented reality
Rise of Kingdoms,926000000,Lilith Games,Strategy
Fishdom,923600000,Playrix,Puzzle
Township,922100000,Playrix,Simulation (CMS)
A Chinese Ghost Story,860000000,NetEase,MMORPG
Marvel Strike Force,846000000,FoxNext / Scopely,RPG
Toy Blast,820000000,Peak Games,Puzzle
Granblue Fantasy,754200000,Cygames,RPG
Honkai Impact 3rd,731000000,miHoYo,ARPG / Hack & slash
King of Avalon,721000000,FunPlus,Strategy
Clash of Kings,700000000,Elex Tech,Strategy / MMO
The Seven Deadly Sins: Grand Cross,680000000,Netmarble,RPG
Hearthstone,660000000,Blizzard (Activision Blizzard),DCCG
The Battle Cats,600000000,PONOS Corporation,Real Time Strategy
The Idolmaster Cinderella Girls: Starlight Stage,524000000,Bandai Namco Entertainment,DCCG / Rhythm
Final Fantasy XV: A New Empire,518400000,Machine Zone / Square Enix,Strategy
Guns of Glory,510000000,FunPlus,Strategy MMORPG
League of Legends: Wild Rift,505000000,Riot Games (Tencent),MOBA
Minecraft,500000000,Mojang Studios,Sandbox / Survival
Crossfire Mobile,458000000,Smilegate / Tencent,Tactical FPS
Blade & Soul Revolution,457000000,Netmarble,MMORPG
Bingo Blitz,443000000,Playtika,Online Bingo
Harry Potter: Hogwarts Mystery,401000000,Jam City (Netmarble),RPG
8 Ball Pool,400000000,Miniclip,Sports (pool)
Harry Potter: Magic Awakened,358000000,NetEase / Portkey Games,RPG
Angry Birds 2,332500000,Rovio Entertainment,Physics / Puzzle
FIFA Mobile / FIFA Soccer,308700000,EA Sports (Electronic Arts),Sports (association football)
Lineage W,302985000,NCsoft,MMORPG
Black Desert Mobile,300000000,Kakao Games,MMORPG
Yu-Gi-Oh! Duel Links,284000000,Konami,Digital collectible card game
Mario Kart Tour,282000000,Nintendo,Racing (Kart)
Animal Crossing: Pocket Camp,282000000,Nintendo,Simulation (Social)
#COMPASS,281000000,NHN PlayArt / Dwango,MOBA
Raid: Shadow Legends,247000000,Plarium,RPG
Star Trek Fleet Command,222000000,Scopely / CBS Interactive,Strategy (4X)
Project Makeover,218000000,Bubblegum Games,Puzzle / Decoration
Harry Potter: Puzzles & Spells,218000000,Portkey Games / Zynga,Puzzle
DomiNations,200000000,Big Huge Games,Strategy
Candy Crush Friends Saga,200000000,King (Activision Blizzard),Puzzle
Top War,192000000,Topwar Studio,Strategy
Empire & Puzzles,186000000,Small Giant Games,Puzzle / RPG
KartRider Rush+,169000000,Nexon,Racing (Kart)
Dragalia Lost,168000000,Nintendo,Action RPG
Perfect World Mobile,165000000,Perfect World Games / Tencent,MMORPG
Three Kingdoms Fantasy Land,161600000,Alibaba Group,Strategy (auto battler)
Candy Crush Jelly Saga,158000000,King (Activision Blizzard),Puzzle
Jikkyō Powerful Pro Yakyū,155000000,Konami,Sports (baseball)
Puzzles & Survival,151000000,37Games,Puzzle / Strategy
Slotomania,149000000,Playtika,Simulation (Slot)
NBA Live Mobile,140000000,EA Sports (Electronic Arts),Sports (basketball)
White Cat Project,134000000,Colopl,Action RPG
BanG Dream! Girls Band Party!,124050000,Bushiroad,Rhythm / Adventure
CSR Racing 2,121500000,NaturalMotion (Zynga),Racing
One Piece: Burning Will,117000000,Bandai Namco / Alibaba Group,RPG
One Piece: The Road of the Strong,113840000,CMGE,DCCG
Yahtzee With Buddies,113000000,Scopely,Yahtzee
Dragon Quest Tact,111990000,Square Enix,Tactical RPG
